LINAK U.S. Inc.	Physical inventory by inventory dimension	10/2/2017	03:19:54 pm	Page 1
As of	10/2/2017
Receipt lot	Item number	Item name	Receipt date	Location	Pallet ID	Posted quantity	Physical inventory	Posted in total
	0271129-242	LA27 KANBAN OUTER TUBE		QIHOLD	stop	0.00	0.00	0.00
	0271129-370	LA27 KANBAN OUTER TUBE		QIHOLD	stop	3.00	3.00	5.05
	0367062-E	Y-CABLE WITH PLUG AND SEALS		QIHOLD	stop	0.00	0.00	0.00
	0633355-A	TOP FRAME OUTER PROFILE SC		QI	403751A	-1,246.00	-1,246.00	-138.06
	0964497-1320	JOERNS CB6/LA27 CABLE-1320MM		QI	304382A	-717.00	-717.00	-849.52
	3430006-314.5-01	INNER TUBE LA27 L=314.5 MM		QI	163391a	-10.00	-10.00	-14.59
	DL4001B00675560	DL4001B00675560-BLACK		QIHOLD	stop	1.00	1.00	101.91
	SC00-U003-00	STAFF CONTROLLER-BASIC AMERICA		QI	stop	0.00	0.00	0.00
14668662	SC00-U003-00	STAFF CONTROLLER-BASIC AMERICA	8/1/2009	QI	stop	0.00	0.00	0.00
19485009	3430006-314.5-01	INNER TUBE LA27 L=314.5 MM	3/8/2013	QI	163391a	15.00	15.00	21.89
20172394	0840149	STEELCASE FOIL SWITCH	11/11/2013	QIHOLD	272396A	304.00	304.00	3,649.97
20362642	0840149	STEELCASE FOIL SWITCH	1/21/2014	QIHOLD	272396A	49.00	49.00	791.68
20364020	0840149	STEELCASE FOIL SWITCH	1/21/2014	QIHOLD	272396A	71.00	71.00	764.75
20364020	0840149	STEELCASE FOIL SWITCH	1/21/2014	QIHOLD	413801A	142.00	142.00	2,168.09
20364020	0840149	STEELCASE FOIL SWITCH	1/21/2014	QIHOLD	stop	1.00	1.00	15.27
20431264	0840149	STEELCASE FOIL SWITCH	11/13/2013	QIHOLD	272396A	38.00	38.00	508.74
